番号,92,
名前,琴葉 葵（オトコ）,
呼び名,葵くん,
基礎,0,1900
基礎,1,2000
基礎,2,10000
能力,欲望,1
能力,技巧,1
能力,Ｃ感覚,2
能力,マゾっ気,3
能力,ホモっ気,1
経験,絶頂経験,7
経験,自慰経験,20
素質,大人しい,
素質,ツンデレ,
素質,保守的,
素質,習得早い,
素質,舌使い,
素質,倒錯的,
素質,Ｃ敏感,
素質,オトコ,
素質,VOICEROID,
相性,4,120 ;ゆかり
相性,6,250 ;茜
相性,10,120 ;きりたん
相性,15,120 ;弓鶴
;服装 0:なし
;特殊1 1:手袋 2:袖 3:羽衣 4:ナースキャップ 5:警官帽 6:ウサ耳バンド 7:パーカー
フラグ,40,2
;特殊2 11:靴下 12:ハイソックス 13:ニーソックス 14:ガーターストッキング 15:パンティストッキング 16:足袋
フラグ,41,12
;下半身下着 21:ドロワーズ 22:パンティ 23:褌 24:トランクス 25:ブリーフ
フラグ,42,22
;上半身下着 31:ブラジャー 32:スポーツブラ 33:さらし
フラグ,43,0
;下半身上着 41:スカート 42:キュロット 43:もんぺ 44:ズボン 45:ブルマ 46:ビキニパンツ
フラグ,44,0
;上半身上着 51:上着 52:セーラー服 53:体操服 54:ビキニトップ 55:ナース服 56:警官制服 57:白衣 58:メイド服
フラグ,45,0
;全身上着 61:和服 62:導師服 63:ワンピース 64:スクール水着 65:バニースーツ 66:ボンテージスーツ 67:着ぐるみ
フラグ,46,63

